"t","X"
285.5,-0.0219933788981293
285.6,-0.252666243523046
285.7,-0.288183218827774
285.8,-0.259839212310813
285.9,-0.616711064327718
286,-0.584267608725777
286.1,-0.61538793814378
286.2,-0.974394772381501
286.3,-1.11158123739338
286.4,-0.779045340514415
286.5,-0.806355710220375
286.6,-1.07013848670969
286.7,-0.917025742678174
286.8,-0.903856938718621
286.9,-0.481520683713876
287,-0.490037126904242
287.1,-0.435732462389681
287.2,-0.0968722224385972
287.3,0.0633851813395009
287.4,0.163771529029975
287.5,0.225410142871969
287.6,0.343795108604927
287.7,0.307047668904642
287.8,0.45029330425436
287.9,0.300305840646595
288,0.130982952276684
288.1,0.0165959718615744
288.2,0.102672549912568
288.3,0.310139133709847
288.4,0.572816959804003
288.5,0.475981324749834
288.6,0.589085833962997
288.7,0.738786397299371
288.8,0.618006016774226
288.9,0.66225317306505
289,0.38897546978092
289.1,0.726727504675968
289.2,0.768361239688959
289.3,0.570236937750086
289.4,0.540636318965397
289.5,0.717177744685685
289.6,0.794200112892419
289.7,0.613462842680523
289.8,0.572913964602738
289.9,0.423845264861686
290,0.555216399647263
290.1,0.447731551211998
290.2,0.43563552213908
290.3,0.400145089386831
290.4,0.231541362745699
290.5,0.392292701951549
290.6,0.389269585391021
290.7,0.120444305240276
290.8,0.306988001048427
290.9,0.0843743386131484
291,0.511134829358953
291.1,0.125986640768701
291.2,0.158342251838954
291.3,0.141645530339639
291.4,-0.390293064671386
291.5,-0.692109071052474
291.6,-0.874728435705387
291.7,-0.597609303971324
291.8,-0.727198296177457
291.9,-0.683298744140384
292,-0.78596440132121
292.1,-0.727061322824445
292.2,-1.13319197443691
292.3,-1.11648483854157
292.4,-1.03532398351558
292.5,-0.805576685451176
292.6,-0.62046691860698
292.7,-0.575425719533798
292.8,-0.481319305863168
292.9,-0.601067311550907
293,-0.378471144906672
293.1,-0.644876273125355
293.2,-1.05428295446209
293.3,-1.22761902366873
293.4,-1.22128449285338
293.5,-1.21249966474768
293.6,-1.05132053393732
293.7,-0.816696911534621
293.8,-1.21301210000752
293.9,-1.23155743612522
294,-1.260218001004
294.1,-1.36907778470147
294.2,-1.71218200287385
294.3,-1.42878032262217
294.4,-1.61302959451439
294.5,-1.74406637714873
294.6,-1.52895329157545
294.7,-1.49434341831863
294.8,-1.53344942268236
294.9,-0.976028669444031
295,-1.16355209720049
295.1,-0.527678216187773
295.2,-0.533858459824397
295.3,-0.549512112185902
295.4,-0.660133254855673
295.5,-0.546682083049213
295.6,-0.268866567256071
295.7,-0.436566751891255
295.8,-0.345283058106339
295.9,-0.380293504270892
296,-0.186526612679414
296.1,-0.393973214752436
296.2,-0.392952307868373
296.3,-0.29090678148352
296.4,-0.177156879169463
296.5,0.0219163116610655
296.6,0.316788141936379
296.7,0.15451339581459
296.8,0.282922729419223
296.9,0.343548060166496
297,0.408126120296161
297.1,0.137423716756019
297.2,0.0949272776612242
297.3,0.217080562589512
297.4,0.174751524380174
297.5,0.0236370072585711
297.6,0.0480849174798397
297.7,0.000905378657697811
297.8,0.0759812071058408
297.9,0.302354603421993
298,-0.00479362063799321
298.1,0.0511026742653187
298.2,-0.0502588005482325
298.3,-0.00387847255760776
298.4,0.15655278571308
298.5,0.416062948728659
298.6,0.388178308096144
298.7,0.601304664808769
298.8,0.497374182784909
298.9,0.458956879814689
299,0.578815751526119
299.1,0.683601843913598
299.2,0.734938423460516
299.3,0.309513533977451
299.4,-0.0107164688691375
299.5,-0.0760840113720663
299.6,-0.344033908295664
299.7,-0.263565928027963
299.8,-0.584165388266357
299.9,-0.378530594722448
300,-0.509748379152392
300.1,-0.537656344306019
300.2,-0.192648301925233
300.3,-0.295258593316043
300.4,-0.429635970961726
300.5,-0.112066822771752
300.6,-0.0415299165411804
300.7,0.193172924801257
300.8,0.336905638960391
300.9,0.369839207522159
301,0.0434894950058892
301.1,0.398152750201888
301.2,0.373903312562784
301.3,0.175869773217626
301.4,0.467364608494482
301.5,0.239860066192234
301.6,0.0754966858649229
301.7,0.427034233105159
301.8,0.209483160588621
301.9,-0.048943918007105
302,-0.314049316948721
302.1,-0.208917871889853
302.2,-0.43046130618383
302.3,-0.013035086604719
302.4,0.112538771652482
302.5,0.196226381524476
302.6,0.098334918286435
302.7,0.0224021972657603
302.8,-0.0395588927397168
302.9,0.0298361376176178
303,0.0264887544794868
303.1,-0.096611557855236
303.2,-0.284095409017674
303.3,-0.287397067324385
303.4,-0.173865979547482
303.5,-0.105313044855049
303.6,-0.0244961733371021
303.7,-0.0206898875776634
303.8,-0.200065618738608
303.9,-0.264412908062508
304,-0.397607147209163
304.1,-0.817764395077527
304.2,-0.827271503591976
304.3,-0.985285635391958
304.4,-0.841009390008552
304.5,-0.437075011208387
304.6,-0.612900149593337
304.7,-0.73015328369977
304.8,-0.93317040267953
304.9,-1.09472213455857
305,-1.089150657533
305.1,-0.741470391455354
305.2,-0.570128981320435
305.3,-0.581512908491427
305.4,-0.951869178436498
305.5,-1.10067805100267
305.6,-0.833327150648938
305.7,-0.850338947501615
305.8,-0.866835922951352
305.9,-0.748789333070376
306,-0.96681768011928
306.1,-0.641030063905
306.2,-0.560145419795706
306.3,-0.585997962006656
306.4,-0.612734202738222
306.5,-0.677937326060906
306.6,-0.657225093414147
306.7,-0.888696986086851
306.8,-0.493581377532194
306.9,-0.633277480046307
307,-0.41373037442096
307.1,-0.555175722650523
307.2,-0.548860602519054
307.3,-0.372232557619096
307.4,-0.583358018987265
307.5,-0.568066147893589
307.6,-0.876271722521313
307.7,-0.70447049338831
307.8,-0.835238805569293
307.9,-0.523070767066434
308,-0.00666575489874843
308.1,0.0171875814301272
308.2,0.208775849318469
308.3,0.449143447438922
308.4,0.30592853504361
308.5,0.0869513433107586
308.6,0.0132782803567741
308.7,-0.215141962318837
308.8,-0.585892988034126
308.9,-0.648966586108218
309,-0.629006017260977
309.1,-0.850625872536937
309.2,-0.610986186852241
309.3,-0.792805722171774
309.4,-0.849722893927937
309.5,-0.992273278330567
309.6,-0.989234358503705
309.7,-1.08941736582925
309.8,-1.37069025959724
309.9,-1.90029753844297
310,-2.31109786560328
310.1,-2.11849738097061
310.2,-2.12945572094555
310.3,-2.42647214629736
310.4,-2.54878579808154
310.5,-2.53974761343488
310.6,-2.49357475574668
310.7,-2.29782725375456
310.8,-2.12960769258273
310.9,-2.14226926216151
311,-2.27870401359115
311.1,-2.11887276702853
311.2,-1.85939656273272
311.3,-1.9579623718759
311.4,-1.80235555703155
311.5,-1.76576233933759
311.6,-1.94358743253535
311.7,-2.03449118600461
311.8,-1.75209556692861
311.9,-1.75437629396774
312,-1.77611425325636
312.1,-1.68856983302142
312.2,-1.46189575731195
312.3,-1.17882718298562
312.4,-1.28377503745515
312.5,-1.12614550308767
312.6,-1.17372551207423
312.7,-1.13626372673539
312.8,-0.947556369433372
312.9,-0.740213711467339
313,-0.727628731882062
313.1,-0.608427353852312
313.2,-0.81287971411053
313.3,-0.72240842784383
313.4,-0.884454811343022
313.5,-0.824424440386063
313.6,-0.94062459872697
313.7,-1.06874577076926
313.8,-0.993239202183834
313.9,-0.889485039972264
314,-0.916560980551127
314.1,-0.663960632413862
314.2,-0.669111851928889
314.3,-0.490504429488022
314.4,-0.598650809987761
314.5,-0.693738798195204
314.6,-0.288929372604127
314.7,-0.317479740422418
314.8,-0.362540202061113
314.9,-0.708657899349695
315,-0.7843598413357
315.1,-0.941154090879526
315.2,-0.857912942937042
315.3,-0.431979791675803
315.4,-0.356566780205435
315.5,-0.683025293634148
315.6,-0.454209046238102
315.7,-0.257455387674343
315.8,-0.474534774977567
315.9,-0.521513861924575
316,-0.498464822134533
316.1,-0.408405592815473
316.2,-0.13084483180655
316.3,-0.181718691167174
316.4,0.0279093087143791
316.5,-0.0231725827624778
316.6,0.145369205469979
316.7,0.316528765059896
316.8,0.246492949306214
316.9,0.253416680428394
317,0.354976194457017
317.1,0.451815543202623
317.2,0.314896917179892
317.3,0.159326993415402
317.4,-0.129711192042951
317.5,-0.44359379037281
317.6,-0.168768800148036
317.7,-0.0974949008907059
317.8,-0.263564762769453
317.9,-0.140592908369616
318,-0.123713824923759
318.1,0.253079084856337
318.2,0.123986688303047
318.3,0.433113644311249
318.4,0.33642602355415
318.5,0.284305198613466
318.6,0.186220499667003
318.7,0.240663049305973
318.8,0.224840246089242
318.9,0.0513510901825619
319,0.311185539121251
319.1,0.246400156427199
319.2,0.113478397379717
319.3,0.175626980423786
319.4,0.415771570809346
319.5,0.368384219203695
319.6,0.472089880173478
319.7,0.595431582728319
319.8,0.486575848889167
319.9,0.322402399692135
320,0.0861282757048091
320.1,0.149932466394024
320.2,-0.0888157115453962
320.3,0.322712942404646
320.4,0.17510845704208
320.5,0.221696580756847
320.6,0.183415086043717
320.7,0.216858346992142
320.8,0.240023366458345
320.9,0.322804576642698
321,0.530759232606549
321.1,0.752621188167368
