"parameter","theta_hat","theta0","sigma_hat","Z","p_value","reject_5_percent","replicate","n_events","convergence","reject"
"log_alpha",-0.963406298401483,-1.04982212449868,6.14229854675281,0.444899957682168,0.6563920532251,FALSE,23,1129,0,FALSE
"log_beta",0.24054205380373,0.182321556793955,7.68037151952469,0.239714155220066,0.810551860574723,FALSE,23,1129,0,FALSE
"log_mu",-0.291148167151707,-0.22314355131421,2.35348528984667,-0.913748976375637,0.360848762631281,FALSE,24,1209,0,FALSE
"log_alpha",-0.740176545824588,-1.04982212449868,4.93565281169257,1.98390229898524,0.0472667325953466,TRUE,24,1209,0,TRUE
"log_beta",0.22192051361528,0.182321556793955,5.98214744276622,0.2093276665614,0.834192455368588,FALSE,24,1209,0,FALSE
"log_mu",-0.141959307585535,-0.22314355131421,2.0388962477647,1.25914754408082,0.207977044347072,FALSE,25,1085,0,FALSE
"log_alpha",-1.1412792033863,-1.04982212449868,8.26387198217904,-0.349972359269702,0.726359441583552,FALSE,25,1085,0,FALSE
"log_beta",0.466426358771772,0.182321556793955,10.9862457177584,0.817766406761493,0.413490583453479,FALSE,25,1085,0,FALSE
"log_mu",-0.345309928609416,-0.22314355131421,2.5443583621133,-1.51835532092051,0.128924848557158,FALSE,26,1094,0,FALSE
"log_alpha",-0.936849027765425,-1.04982212449868,5.79442964845081,0.616544373949078,0.537535294643853,FALSE,26,1094,0,FALSE
"log_beta",0.10405289061127,0.182321556793955,7.21616535204677,-0.342989998823235,0.731605984085378,FALSE,26,1094,0,FALSE
"log_mu",-0.180799455576287,-0.22314355131421,2.19679253388748,0.609542257297764,0.542165072098137,FALSE,27,1211,0,FALSE
"log_alpha",-0.921397512519297,-1.04982212449868,5.48021224215319,0.741055753925735,0.458659635769025,FALSE,27,1211,0,FALSE
"log_beta",0.245433640570758,0.182321556793955,6.58646913158048,0.303012021505021,0.761880700193611,FALSE,27,1211,0,FALSE
"log_mu",-0.291735927806508,-0.22314355131421,2.24174695751963,-0.96758529820623,0.333251522572549,FALSE,28,1077,0,FALSE
"log_alpha",-0.846794742800513,-1.04982212449868,6.5126010564065,0.985825706174671,0.324218649008159,FALSE,28,1077,0,FALSE
"log_beta",0.335030179321949,0.182321556793955,8.27460054983352,0.583601664668972,0.559488339951652,FALSE,28,1077,0,FALSE
"log_mu",-0.283884379930052,-0.22314355131421,2.41893681094396,-0.794065246032766,0.427157448679336,FALSE,29,1161,0,FALSE
"log_alpha",-0.910169623852535,-1.04982212449868,5.44428601576984,0.811162348379119,0.417272444734762,FALSE,29,1161,0,FALSE
"log_beta",0.135069058257757,0.182321556793955,6.63293086630144,-0.225278272184793,0.821762801540203,FALSE,29,1161,0,FALSE
"log_mu",-0.199393874284658,-0.22314355131421,2.15448061282085,0.348590155139221,0.727397019738292,FALSE,30,1155,0,FALSE
"log_alpha",-0.751512589727454,-1.04982212449868,5.97626288357055,1.57847403302089,0.114456749046911,FALSE,30,1155,0,FALSE
"log_beta",0.483392452713916,0.182321556793955,7.68734127283357,1.23849031089476,0.215534312521832,FALSE,30,1155,0,FALSE
"log_mu",-0.220344549922559,-0.22314355131421,2.16562603841718,0.0408714127674032,0.967398407703871,FALSE,31,1131,0,FALSE
"log_alpha",-0.972662788658455,-1.04982212449868,5.7202604012595,0.426552686215548,0.669705165569401,FALSE,31,1131,0,FALSE
"log_beta",0.262758030049656,0.182321556793955,6.68039369946854,0.380759688548705,0.703381573891228,FALSE,31,1131,0,FALSE
"log_mu",-0.251031045399945,-0.22314355131421,2.33403228915974,-0.377835387946359,0.705552883241535,FALSE,32,1143,0,FALSE
"log_alpha",-0.936266456907727,-1.04982212449868,5.75894762635016,0.623541963058193,0.532928435538176,FALSE,32,1143,0,FALSE
"log_beta",0.205187073359367,0.182321556793955,7.07017046916745,0.102270677260669,0.91854182940081,FALSE,32,1143,0,FALSE
"log_mu",-0.221616245161821,-0.22314355131421,2.59232239853674,0.0186310395985562,0.98513544111105,FALSE,33,1191,0,FALSE
"log_alpha",-1.10652618704724,-1.04982212449868,6.68822900978551,-0.268103843298059,0.788619387575013,FALSE,33,1191,0,FALSE
"log_beta",0.00924860773799679,0.182321556793955,8.70931994408273,-0.628412693405487,0.529733623893432,FALSE,33,1191,0,FALSE
"log_mu",-0.228877390167141,-0.22314355131421,2.89720404787166,-0.0625844442159706,0.950097416849626,FALSE,34,1143,0,FALSE
"log_alpha",-1.23587631168513,-1.04982212449868,8.11726484772038,-0.724819271956765,0.468562911145988,FALSE,34,1143,0,FALSE
"log_beta",-0.0465277981112063,0.182321556793955,11.3897252453662,-0.635384249374197,0.525177838093091,FALSE,34,1143,0,FALSE
"log_mu",-0.114143361562275,-0.22314355131421,1.82232647912092,1.89147701553967,0.0585606963373639,FALSE,35,1048,0,FALSE
"log_alpha",-0.893706588110834,-1.04982212449868,10.4636250334636,0.471806540797903,0.637064881806862,FALSE,35,1048,0,FALSE
"log_beta",1.01188209481339,0.182321556793955,15.2740615344605,1.71748735673061,0.0858901625783661,FALSE,35,1048,0,FALSE
"log_mu",-0.227724180255345,-0.22314355131421,2.30876134207602,-0.0627402248386917,0.949973365682924,FALSE,36,1125,0,FALSE
"log_alpha",-1.05781646538273,-1.04982212449868,6.47832320189733,-0.0390229459036766,0.968872094359002,FALSE,36,1125,0,FALSE
"log_beta",0.172577285227911,0.182321556793955,8.26363345853138,-0.0372887936554138,0.970254740647533,FALSE,36,1125,0,FALSE
"log_mu",-0.0834585874850225,-0.22314355131421,1.88146090541469,2.34776411939905,0.0188864776167419,TRUE,37,1154,0,TRUE
"log_alpha",-1.02398098435402,-1.04982212449868,7.96025182520973,0.102656124438094,0.918235897225813,FALSE,37,1154,0,FALSE
"log_beta",0.571350127024935,0.182321556793955,10.0918127951087,1.21902415530829,0.222835024499769,FALSE,37,1154,0,FALSE
"log_mu",-0.195727043048629,-0.22314355131421,2.42334547449235,0.357764142672351,0.720519826796775,FALSE,38,1191,0,FALSE
"log_alpha",-1.24275348348345,-1.04982212449868,6.44344083127402,-0.946858274079679,0.34371100249417,FALSE,38,1191,0,FALSE
"log_beta",-0.0708377762224984,0.182321556793955,7.66864226701731,-1.0439398206176,0.296513233196602,FALSE,38,1191,0,FALSE
"log_mu",-0.302974972415085,-0.22314355131421,2.39388552980372,-1.05455802453299,0.291627509851089,FALSE,39,1167,0,FALSE
"log_alpha",-0.852759290064979,-1.04982212449868,5.38434644587684,1.15736868948384,0.247121760602392,FALSE,39,1167,0,FALSE
"log_beta",0.146526734880254,0.182321556793955,6.71817954770555,-0.168487854311753,0.866199497936602,FALSE,39,1167,0,FALSE
"log_mu",-0.219203373992699,-0.22314355131421,2.12209358704353,0.0587152932226453,0.953178878123372,FALSE,40,1083,0,FALSE
"log_alpha",-0.772333538327098,-1.04982212449868,7.09053327311256,1.23755988894316,0.215879295054983,FALSE,40,1083,0,FALSE
"log_beta",0.580859368276202,0.182321556793955,9.55243815500024,1.31933564764616,0.187056925289914,FALSE,40,1083,0,FALSE
"log_mu",-0.227851741912389,-0.22314355131421,2.24675608198133,-0.0662671220424925,0.947165158477351,FALSE,41,1116,0,FALSE
"log_alpha",-1.12500820311753,-1.04982212449868,6.34073036828945,-0.374971403864001,0.707681734006252,FALSE,41,1116,0,FALSE
"log_beta",0.122346361559404,0.182321556793955,7.4105416195761,-0.255930308188873,0.79800465124675,FALSE,41,1116,0,FALSE
"log_mu",-0.225195710970691,-0.22314355131421,2.15607810360056,-0.0300986250263937,0.975988397305553,FALSE,42,1150,0,FALSE
"log_alpha",-0.851326563289111,-1.04982212449868,5.67111076669742,1.10683445391623,0.26836550902301,FALSE,42,1150,0,FALSE
"log_beta",0.332443067225599,0.182321556793955,7.02535814060414,0.67573195451058,0.499210843988684,FALSE,42,1150,0,FALSE
"log_mu",-0.311960230841062,-0.22314355131421,2.33932862406206,-1.2006137086905,0.229901080863295,FALSE,43,1093,0,FALSE
"log_alpha",-0.92755648547364,-1.04982212449868,5.79490971343034,0.667202627849428,0.504642712816436,FALSE,43,1093,0,FALSE
"log_beta",0.180204157246134,0.182321556793955,7.13287941788175,-0.00938724026504297,0.992510175925036,FALSE,43,1093,0,FALSE
"log_mu",-0.00164070022017373,-0.22314355131421,2.24276848169082,3.12316462174554,0.0017891764412874,TRUE,44,1185,0,TRUE
"log_alpha",-1.05017597499269,-1.04982212449868,13.6391172055037,-0.000820414910579879,0.999345403682828,FALSE,44,1185,0,FALSE
"log_beta",0.797155567821518,0.182321556793955,21.4289014847217,0.907314758607856,0.364240371788094,FALSE,44,1185,0,FALSE
"log_mu",-0.3460771333967,-0.22314355131421,3.25423042344713,-1.19459924381181,0.232243644841999,FALSE,45,1094,0,FALSE
"log_alpha",-1.40363536075908,-1.04982212449868,8.02588886407791,-1.39405829291493,0.163300002327364,FALSE,45,1094,0,FALSE
"log_beta",-0.363997070130498,0.182321556793955,11.0467010198498,-1.56391594753286,0.11783730882507,FALSE,45,1094,0,FALSE
"log_mu",-0.291599872843474,-0.22314355131421,2.56235641731935,-0.844839128569658,0.3982006646052,FALSE,46,1126,0,FALSE
"log_alpha",-1.03520167321137,-1.04982212449868,6.30543381110657,0.0733239422892402,0.941548339786224,FALSE,46,1126,0,FALSE
"log_beta",0.0538354483818,0.182321556793955,8.23544015895273,-0.493366161894858,0.621753887250447,FALSE,46,1126,0,FALSE
"log_mu",-0.24769555329431,-0.22314355131421,2.39039076242241,-0.32480148683055,0.745331319179575,FALSE,47,1090,0,FALSE
"log_alpha",-1.2936487125986,-1.04982212449868,6.8295901143946,-1.12898045063985,0.258906080613612,FALSE,47,1090,0,FALSE
"log_beta",-0.0367419894455872,0.182321556793955,8.11363359042628,-0.853797192971553,0.39321737007981,FALSE,47,1090,0,FALSE
"log_mu",-0.284072713054209,-0.22314355131421,3.13184261315386,-0.615212674525669,0.538414278552175,FALSE,48,1093,0,FALSE
"log_alpha",-1.38940394961243,-1.04982212449868,9.16456514436344,-1.17174356059532,0.241300028379043,FALSE,48,1093,0,FALSE
"log_beta",-0.22420914905453,0.182321556793955,12.9268500553904,-0.994490509109816,0.31998412372848,FALSE,48,1093,0,FALSE
"log_mu",-0.0641150508182417,-0.22314355131421,1.90406928663069,2.64114482587112,0.00826263907168445,TRUE,49,1237,0,TRUE
"log_alpha",-0.988906244033562,-1.04982212449868,6.20860800997674,0.310267498986534,0.756357544463339,FALSE,49,1237,0,FALSE
"log_beta",0.430744491560853,0.182321556793955,7.0586037305255,1.11294290893469,0.265732949842988,FALSE,49,1237,0,FALSE
"log_mu",-0.254219178397084,-0.22314355131421,2.20327913428265,-0.446015939473295,0.655585732133058,FALSE,50,1160,0,FALSE
"log_alpha",-0.938444037768577,-1.04982212449868,5.23668811874398,0.672578598366806,0.501215421019064,FALSE,50,1160,0,FALSE
"log_beta",0.165832469891769,0.182321556793955,6.04925624860614,-0.0861974910706954,0.931309425121807,FALSE,50,1160,0,FALSE
