"gamma1_true","replicate","n_events","mu_hat","alpha_hat","beta_hat","branching_hat","neg_loglik","convergence"
2,5,398,0.285211792299487,1.05925928290165,1.2342199164103,0.858241929835712,-114.604864832946,0
2,6,440,0.246143818701484,1.02123769526417,1.14684803830492,0.890473420326545,-163.3997292882,0
2,7,406,0.242515961568974,1.05950337751398,1.19909247989412,0.883587709271213,-94.1177182171425,0
2,8,421,0.196114795445768,1.16297131095381,1.28039744630201,0.9082893083805,-166.590109491615,0
2,9,388,0.213940318078137,1.04598035889316,1.16996381516452,0.894027956536481,-108.024648019304,0
2,10,408,0.286845052217495,0.991148460203061,1.15274474391735,0.859816074142189,-95.7171921303054,0
2,11,405,0.205152369771979,1.00309880113401,1.11366197618771,0.900721064903211,-124.585425372258,0
2,12,425,0.304930792253087,1.02727892286655,1.19845803811797,0.857167201681723,-107.806211613416,0
2,13,407,0.202243979171954,1.06900113227773,1.18570848234353,0.901571632653641,-130.997124028697,0
2,14,418,0.236955361081407,1.01389552263323,1.13866667519839,0.890423461683005,-120.927173081341,0
2,15,403,0.231534174528284,1.03330657475953,1.16618148406371,0.886059836209056,-100.309680541111,0
2,16,406,0.235739190936746,0.88964037770377,1.00546032556489,0.884809032324526,-81.3528974780307,0
2,17,396,0.235941018289664,1.05280997570262,1.19129893968782,0.883749611981107,-109.590373160557,0
2,18,405,0.203051642054174,0.92979750819666,1.0316306423207,0.90128915335923,-98.717305446744,0
2,19,417,0.21014142354487,1.19855904360715,1.33046894086579,0.900854583517896,-155.518971450425,0
2,20,391,0.198730462892712,1.05782741385826,1.17724456211254,0.898562157687953,-127.54991447027,0
2,21,414,0.224373213345564,0.964897467568356,1.07657039422422,0.896269740227865,-125.995039961219,0
2,22,398,0.32644335653559,1.00895859402576,1.20008362245787,0.840740241050312,-81.5945036307199,0
2,23,420,0.220276804485764,0.955366213234496,1.06549500413536,0.896640725227774,-140.434701231327,0
2,24,382,0.236048226489512,1.1808056580956,1.34619208811972,0.877144999228808,-102.932702982547,0
2,25,474,0.24751334771372,1.02386297524313,1.14217670266096,0.896413814830766,-197.547013370132,0
2,26,395,0.179324590172876,1.20547769913888,1.3234699294331,0.910846308125216,-149.865214034518,0
2,27,397,0.209328241436801,0.958524297460353,1.06932134478112,0.896385639488524,-113.813080918583,0
2,28,396,0.204590078989527,0.974833046706571,1.08713865243108,0.896696152350608,-94.56781607982,0
2,29,400,0.213064612564808,1.04085786622206,1.16473707745094,0.893641909726108,-125.507302473965,0
