"branching_true","alpha_true","beta_true","replicate","n_events","observed_LR","branching_hat","p_empirical","p_corrected","reject","max_boot_LR","mean_boot_LR"
0.2,0.24,1.2,12,192,8.45620314709663,0.153143004010575,0,0.0196078431372549,TRUE,6.13367047696795,1.23690460017436
0.2,0.24,1.2,13,226,9.63747722425296,0.244837641662722,0,0.0196078431372549,TRUE,4.82817846523062,0.829178571574855
0.2,0.24,1.2,14,203,4.03890361929757,0.160816741696695,0.04,0.0588235294117647,FALSE,6.96510078535607,0.817562587363404
0.2,0.24,1.2,15,183,10.6120857398559,0.276869945952191,0,0.0196078431372549,TRUE,8.1936095967842,1.12313927160147
0.2,0.24,1.2,16,185,6.39160140420955,0.137212104443685,0.06,0.0784313725490196,FALSE,9.19780326125738,1.30076603159357
0.2,0.24,1.2,17,208,4.7768013705026,0.226140711392389,0.06,0.0784313725490196,FALSE,9.49132545231646,1.10725321543014
0.2,0.24,1.2,18,203,7.54308679376675,0.239551668314476,0,0.0196078431372549,TRUE,7.23985498779734,1.18455939524957
0.2,0.24,1.2,19,184,9.56309994343542,0.181741816196287,0,0.0196078431372549,TRUE,9.27649306087977,1.49274713532734
0.2,0.24,1.2,20,189,11.4132954251506,0.179865889353665,0,0.0196078431372549,TRUE,7.77716359543814,1.01783853486638
0.2,0.24,1.2,21,190,2.80336338048687,0.1803581238421,0.12,0.137254901960784,FALSE,3.65820460336892,0.830004006544812
0.2,0.24,1.2,22,197,2.53978971217362,0.143242982302069,0.14,0.156862745098039,FALSE,6.79752990740576,0.908466701968222
0.2,0.24,1.2,23,196,7.01455880594995,0.156302844870396,0.02,0.0392156862745098,TRUE,7.72244056647776,0.948056944945434
0.2,0.24,1.2,24,177,11.9351487669108,0.31736015818587,0,0.0196078431372549,TRUE,8.85258220777541,0.908839124067299
0.2,0.24,1.2,25,185,2.25122780596331,0.0594602900665127,0.1,0.117647058823529,FALSE,4.9229376261016,0.740779731569504
0.2,0.24,1.2,26,224,3.90569890912468,0.138990209828744,0.06,0.0784313725490196,FALSE,7.3926150230543,0.817617462337652
0.2,0.24,1.2,27,197,1.0431687260018,0.0944630994074678,0.12,0.137254901960784,FALSE,5.69414658395726,0.487057572721516
0.2,0.24,1.2,28,189,6.00618779803023,0.215818413358539,0.02,0.0392156862745098,TRUE,9.97543913990586,1.03761830434268
0.2,0.24,1.2,29,199,3.84117232474404,0.235911686446811,0.06,0.0784313725490196,FALSE,9.61515084624682,1.04642429048883
0.2,0.24,1.2,30,186,3.70962539094,0.177742889788268,0.04,0.0588235294117647,FALSE,6.17796447481692,0.634804340951474
