"parameter_i","parameter_j","theta_i_hat","theta_j_hat","contrast_hat","sigma_hat","Z","p_value","reject_5_percent","replicate","n_events","convergence","reject"
"log_mu","log_beta",0.1108848139218,0.0112544864315728,0.0996303274902267,6.00049882107691,0.525054280139097,0.599545457739189,FALSE,35,1739,0,FALSE
"log_mu","log_beta",0.107092415280507,-0.107641837245194,0.214734252525701,6.78577921719439,1.00069469975437,0.316974430634073,FALSE,36,1680,0,FALSE
"log_mu","log_beta",0.201122026354995,0.317403683701482,-0.116281657346487,6.19191744528605,-0.593862709836503,0.552603941968404,FALSE,37,1706,0,FALSE
"log_mu","log_beta",0.206314766030611,0.354786797258021,-0.14847203122741,6.54683960219019,-0.717154865613616,0.473278545065086,FALSE,38,1764,0,FALSE
"log_mu","log_beta",0.061628956745362,0.262799896738728,-0.201170939993366,5.44340977121762,-1.168676245503,0.242534096095747,FALSE,39,1530,0,FALSE
"log_mu","log_beta",0.271349802174951,0.291685330976316,-0.0203355288013646,7.90412890171124,-0.0813582233234375,0.935157071885254,FALSE,40,1714,0,FALSE
"log_mu","log_beta",0.0875887283688083,-0.30061307309486,0.388201801463668,7.42123632503557,1.6541743594182,0.0980920909841456,FALSE,41,1672,0,FALSE
"log_mu","log_beta",0.0899716161412124,0.0543840456363254,0.035587570504887,5.29219679922166,0.212648515270299,0.831601127055277,FALSE,42,1702,0,FALSE
"log_mu","log_beta",0.112925879324573,0.00718916541818057,0.105736713906392,7.41390435709868,0.451002376265681,0.651987836340794,FALSE,43,1550,0,FALSE
"log_mu","log_beta",0.0950656768899553,-0.015734905225446,0.110800582115401,5.42324590663172,0.646074715381662,0.518230969315192,FALSE,44,1721,0,FALSE
"log_mu","log_beta",0.184780381306227,0.28638072720237,-0.101600345896143,5.66440365859798,-0.567206229388456,0.570574076248723,FALSE,45,1772,0,FALSE
"log_mu","log_beta",0.105699327953459,0.160739518288095,-0.0550401903346368,5.01509446479104,-0.347057000677832,0.728548496538929,FALSE,46,1716,0,FALSE
"log_mu","log_beta",0.17243198286101,0.282503644189866,-0.110071661328855,7.03203731088959,-0.494987640493371,0.620608844918075,FALSE,47,1646,0,FALSE
"log_mu","log_beta",0.199147420711653,0.434785324978055,-0.235637904266402,5.65182479513842,-1.31842813172748,0.187360368677266,FALSE,48,1788,0,FALSE
"log_mu","log_beta",0.0908378539801437,0.00317289464099566,0.087664959339148,6.81183090402582,0.406969794763869,0.684030172955011,FALSE,49,1567,0,FALSE
"log_mu","log_beta",0.208205272227898,0.0803684872229669,0.127836785004932,6.14966679853858,0.657361484145631,0.510948510992272,FALSE,50,1786,0,FALSE
