"n_events","mu0_null","mu1_null","mu0_full","mu1_full","alpha_full","beta_full","loglik_null","loglik_full","LR","p_chisq","conv_null","conv_full","boot_id"
151,-0.564635773542548,0.674333250897433,-0.597337401130006,0.680379789724744,0.450056734364599,15.8553112805697,-207.763009733599,-206.927056517388,1.67190643242355,0.196003378036981,0,0,52
166,-0.460333155504305,0.639532987734447,-0.518341477682714,0.666414045603404,0.00991561179538266,0.197278867132675,-214.839668911917,-214.792264694095,0.0948084356441541,0.758150980011494,0,0,53
134,-0.67668357811039,0.647804791597838,-0.700246658549946,0.650066351843458,0.0682777335926899,3.05350363298798,-201.713197981859,-201.604683232493,0.217029498731222,0.641312672567503,0,0,54
138,-0.620497793902781,0.532237435144597,-0.621052829487077,0.53227659641196,0.00130273551859908,2.2776038874999,-209.024127724385,-209.025562083659,0,1,0,0,55
154,-0.670138647057413,1.00857271194558,-0.699176860663666,1.01639878830675,0.0501284481529135,2.01747485180168,-184.184397888716,-184.076439892315,0.21591599280157,0.642169503120107,0,0,56
138,-0.690753355035955,0.790312770377262,-0.79458961043856,0.806709898023089,0.719015028629048,8.00773037378459,-195.614792311301,-192.367749523493,6.49408557561594,0.0108233952065473,0,0,57
131,-0.670059664797492,0.519438338365237,-0.700622347987102,0.516591705339383,0.15635089833186,5.24087614050319,-205.740292195777,-205.479501081161,0.521582229230773,0.470167527374111,0,0,58
141,-0.65548401213379,0.74935484632003,-0.65558868905143,0.749440870814025,0.000245029007510477,7.15472756507838,-199.367164523032,-199.368089436081,0,1,0,0,59
159,-0.551617509916914,0.797609707596545,-0.636174254367061,0.82935206757422,0.0711521990542562,1.00149523825472,-202.333441654087,-201.977644576353,0.711594155467481,0.398915098382904,0,0,60
138,-0.66305739714294,0.704078336777476,-0.663084623824721,0.704077866803054,0.000400522105405481,17.5061496982939,-200.684932968849,-200.684990978976,0,1,0,0,61
147,-0.589063315208585,0.666241525853644,-0.678621819282182,0.699136421675616,0.0199338808386394,0.256070898532927,-206.656728143789,-206.513193157217,0.287069973145378,0.592104307565926,0,0,62
137,-0.699419529415084,0.794578055696077,-0.6995836917074,0.794634948723821,9.25400239707981e-05,1.5147384425707,-194.926228355641,-194.926669753223,0,1,0,0,63
157,-0.505246601297969,0.595793805376109,-0.528394035946796,0.594340780883154,0.0917165142858678,4.03514938188376,-214.350678596531,-214.231608143448,0.238140906166052,0.625552086383316,0,0,64
151,-0.574842386005445,0.709985843470049,-0.586774389575033,0.710086134571846,0.0918498421759853,8.04658311432685,-205.629028077922,-205.566300466215,0.125455223413667,0.723191559958626,0,0,65
141,-0.650780589725998,0.734233455181191,-0.690400438946024,0.739579074069669,0.186673738187656,5.14158323316098,-200.269911056393,-199.79509403358,0.949634045626283,0.32981246533813,0,0,66
155,-0.552338162597244,0.722374602932255,-0.585319334447315,0.725546646878541,0.286327967256837,9.55113309509888,-206.250816984436,-205.769897423044,0.961839122785193,0.326723946710567,0,0,67
132,-0.704745953144623,0.694692025772952,-0.70505971613524,0.694753109417851,0.00622619470952147,27.606253495547,-198.316829869448,-198.312498633721,0.00866247145512489,0.925846044644968,0,0,68
152,-0.5174888176988,0.498629248017902,-0.517557570162472,0.498680380822903,0.000449861172082586,6.61772762331111,-217.033253998278,-217.034531141165,0,1,0,0,69
158,-0.546740393085242,0.764785880275803,-0.716765462571517,0.854103806060494,0.0408930770206096,0.312352337621401,-204.369814828285,-203.754763835685,1.23010198519989,0.267387205296324,0,0,70
152,-0.556874841596367,0.670774009125287,-0.618010954868187,0.678047393588814,0.574034235833115,10.5378082128013,-208.339134558702,-206.405180405777,3.86790830584926,0.0492178240325733,0,0,71
150,-0.587765536911006,0.730483296355697,-0.587895474777512,0.730378660740772,0.000173461965991217,2.42190902476387,-204.006398627873,-204.006917180168,0,1,0,0,72
127,-0.821176566049682,0.914553619767238,-0.821193975214561,0.914558730155578,0.000171529920635582,12.9719686310759,-182.906924679977,-182.907372445033,0,1,0,0,73
143,-0.608617184820109,0.636182442796771,-0.737128597989207,0.699766956743823,0.0319421398878221,0.29827462414348,-206.567384143889,-206.29429030994,0.546187667897811,0.459879608545267,0,0,74
132,-0.684119911630669,0.618553475843851,-0.684239293782213,0.618474029319399,0.000130214240902431,4.73968151050897,-202.081500992265,-202.082168708718,0,1,0,0,75
128,-0.704805108177471,0.574960351465427,-0.704907997189497,0.57494735802883,0.0016720527317304,10.0382608875938,-201.786585847048,-201.78633205205,0.000507589997425839,0.982025374535968,0,0,76
133,-0.692155345497593,0.677123108419994,-0.692211402236471,0.677163793418132,5.32942101919846e-05,2.08342837517855,-199.730053062939,-199.730699546912,0,1,0,0,77
