"gamma1_true","replicate","n_events","mu_hat","alpha_hat","beta_hat","branching_hat","neg_loglik","convergence"
0.5,28,178,0.557729357870886,0.417573638887946,1.1183870076723,0.373371324973671,186.229283301705,0
0.5,29,144,0.525636573006468,0.0948053522909715,0.3469038901182,0.273289965871149,189.670126741888,0
0.5,30,164,0.484486440955762,0.138041352629355,0.329972878457203,0.418341511201682,191.007508660078,0
0.75,1,202,0.631878493701646,0.364147855598866,0.972029093015933,0.37462649854339,187.729123288493,0
0.75,2,173,0.483283525290488,0.550514584143914,1.23962041461507,0.444099320770595,176.571573444687,0
0.75,3,265,0.594186491391231,0.332498392096969,0.597789684687,0.556212997002557,166.150401749151,0
0.75,4,202,0.546359920129274,0.683685166114606,1.48234409224313,0.461218936744997,172.822274383718,0
0.75,5,215,0.705849763067971,0.352231985596894,1.02010132198351,0.345291176480397,191.53640721981,0
0.75,6,221,0.619968097184363,0.260483837604991,0.58648380588651,0.444144978924443,189.542802635267,0
0.75,7,182,0.514870606471147,0.329735300731106,0.759124801236913,0.434362439738285,184.203014785083,0
0.75,8,173,0.759040680251527,1.31261757681312,10.7063841886599,0.122601389384424,191.283005792724,0
0.75,9,181,0.434167039256879,0.24122165094774,0.448406019769601,0.53795364092499,186.730606163307,0
0.75,10,185,0.486557676720502,0.286122176553154,0.602063903755334,0.475235560159787,186.047036588659,0
0.75,11,138,0.415611168842042,0.181154020410779,0.45194539782265,0.400831651972849,184.609840006792,0
0.75,12,191,0.585663346982738,0.476529721850885,1.22966204771664,0.387529014769345,183.378317932797,0
0.75,13,193,0.58019685171384,0.216915298157976,0.538920873842065,0.402499343941807,193.275946635718,0
0.75,14,143,0.450861104590868,0.422706193459029,1.14332187419502,0.369717577350337,179.975698102641,0
0.75,15,173,0.537215983083262,0.472608570651089,1.2434335653952,0.380083491232506,183.426441519619,0
0.75,16,173,0.617851450626181,0.173615012084577,0.601913232647071,0.288438603220367,194.838055915359,0
0.75,17,245,0.776421911326578,0.292397171993999,0.788250298265861,0.370944575139735,187.933618208757,0
0.75,18,212,0.663362609687884,0.345751804799931,0.921393963594037,0.375248610758501,189.418170023412,0
0.75,19,164,0.710999943060475,0.174281171757825,1.30129469894285,0.1339290568842,195.105009580756,0
0.75,20,166,0.539487260855976,0.280838968178105,0.802108284190918,0.350126003824267,190.15119583462,0
0.75,21,165,0.437866701702507,0.429955627227915,0.906756940822008,0.474168553745114,177.6390537273,0
0.75,22,167,0.725354309913122,0.133670893917401,1.0162137491635,0.131538167071084,196.217106269823,0
0.75,23,169,0.494469229715504,0.309094680982428,0.743103763280837,0.415950902492756,185.6713779545,0
0.75,24,263,0.705767793876685,0.507552920830125,1.08712566874482,0.466876034135169,171.255512677227,0
0.75,25,187,0.540100651948557,0.521742183912235,1.23497450339638,0.422472028756352,181.218090399425,0
0.75,26,175,0.586082310592691,0.228566424530433,0.690341496936314,0.331091822735261,193.210401110609,0
0.75,27,146,0.402473129052334,0.367101270006354,0.815774607969879,0.450003305349152,178.926705538743,0
0.75,28,182,0.521945494767333,0.101574801861932,0.235575546492464,0.431177188695099,195.073692830224,0
0.75,29,152,0.404099158505632,0.212583465459991,0.452727117479814,0.469562032518341,185.288510187851,0
0.75,30,197,0.660737741934645,0.447910876757411,1.36060659271735,0.329199402057035,189.438874973594,0
1,1,285,0.667547645022013,1.02684370114354,1.93074340930455,0.531838511629778,121.701635569422,0
