"T_end","rep_id","n_events","max_dN","mu0_hat","mu1_hat","alpha_hat","beta_hat","loglik_full","loglik_no_cov","loglik_no_hawkes","LR_cov","p_cov","LR_hawkes","p_hawkes","conv_full","conv_no_cov","conv_no_hawkes"
250,8,257,1,-0.550349381145627,0.851041669054488,1.2297236137596,4.47538797052777,-178.371468767027,-207.674201308156,-204.278218940365,58.6054650822586,1.9268051665433e-14,51.8135003466766,6.1030724373727e-13,0,0,0
250,9,250,2,-0.410446652492117,0.602513639334818,0.825497879140358,3.15450420741087,-210.856908010352,-226.046291881906,-227.163813882823,30.3787677431089,3.5539696056151e-08,32.6138117449419,1.12413061821209e-08,0,0,0
250,10,245,2,-0.533538318932356,0.742896147448313,0.600918324792148,1.95101189900038,-208.109682493504,-227.531097210379,-225.150083798767,38.84282943375,4.5933813259881e-10,34.0808026105266,5.2870306685562e-09,0,0,0
250,11,254,2,-0.616706474830643,1.00159877231196,0.733407827267532,2.59577992169074,-183.887040816273,-217.502495724064,-203.902098182633,67.23090981558,2.41497970445383e-16,40.0301147327186,2.50077578533938e-10,0,0,0
250,12,254,2,-0.528103292442709,0.870378143677014,0.626082711319949,2.71873826248554,-183.881336309675,-219.375619913585,-195.341389502642,70.9885672078208,3.59300941997724e-17,22.9201063859352,1.68876118657646e-06,0,0,0
250,13,223,2,-0.646783793008992,1.00158121571786,0.381155633677925,1.75494971413191,-187.48274631751,-230.623312709967,-194.479843787201,86.2811327849145,1.56090640466541e-20,13.9941949393815,0.000183375917265629,0,0,0
250,14,276,2,-0.290052407110654,0.64593787385445,0.408812852180584,2.79817933745492,-215.154263762357,-240.122044368874,-219.408247499133,49.935561213034,1.58878920251508e-12,8.50796747355241,0.00353594796895706,0,0,0
250,15,285,3,-0.400373800018882,0.746238668173814,0.540138442510533,1.6129015820794,-189.829254172913,-212.634248804013,-207.439003486311,45.6099892622007,1.44303779904254e-11,35.2194986267954,2.94559505541172e-09,0,0,0
250,16,293,1,-0.357122012375098,0.812358825837872,1.03059140149664,4.9396914280811,-175.870579476843,-211.25895123952,-191.752024998843,70.7767435253533,4.00024935439676e-17,31.7628910439997,1.74189261405294e-08,0,0,0
250,17,219,2,-0.511868657065395,0.627999880559939,0.649997072342433,2.30592145929161,-209.192567255374,-225.304786487018,-222.698562140745,32.2244384632876,1.37352226425973e-08,27.0119897707407,2.0219736401957e-07,0,0,0
250,18,270,2,-0.547397256232166,0.693719973978893,0.911602512991779,2.60681733078767,-201.828401695489,-219.888194701409,-227.00777738461,36.1195860118403,1.85572267143413e-09,50.3587513782424,1.28057759981256e-12,0,0,0
250,19,238,2,-0.411792579913005,0.511682775747889,0.957994532598127,3.76854029598427,-217.242798930737,-226.55423708552,-232.595594555463,18.6228763095654,1.59297518842004e-05,30.7055912494513,3.00298480640911e-08,0,0,0
250,20,245,2,-0.428474826924947,0.619025289870308,0.388996490476701,1.38582073389997,-218.474430286581,-231.871453301861,-227.504773647138,26.7940460305595,2.26333601967922e-07,18.060686721115,2.1397420633498e-05,0,0,0
500,1,410,2,-0.461161738416045,0.780686480306644,0.253737732506353,1.78659924206555,-429.39464776527,-475.153123806813,-434.102547769136,91.5169520830866,1.10640282896802e-21,9.41580000773274,0.00215123686131837,0,0,0
500,2,522,2,-0.523514366660945,0.754659567567861,0.858891784539034,2.81139254756931,-381.777950353054,-422.413208287773,-429.264890831487,81.2705158694378,1.968414898709e-19,94.9738809568667,1.92913902003618e-22,0,0,0
500,3,542,2,-0.459430908519258,0.673830260388575,0.782724111575287,2.72006100066016,-387.326775671993,-425.878048567737,-423.844193554233,77.1025457914868,1.62307970723841e-18,73.034835764479,1.27381555529589e-17,0,0,0
500,4,465,2,-0.655624347138236,0.682762300676466,0.764819733713803,2.16426786449585,-409.590904575055,-438.386484336629,-459.137175806581,57.5911595231482,3.22672599127929e-14,99.0925424630523,2.40973949415304e-23,0,0,0
500,5,478,2,-0.64595138006544,0.861068862251608,0.456304068710141,1.41119143426947,-387.969724974589,-427.192184964106,-413.433841710593,78.4449199790346,8.22601811005523e-19,50.9282334720072,9.58055559935435e-13,0,0,0
500,6,519,2,-0.405688900853902,0.75995138376103,0.686083146027032,3.10936548517775,-391.066899670828,-445.82696746523,-412.987827153674,109.520135588804,1.24830025645544e-25,43.8418549656924,3.56009633493074e-11,0,0,0
500,7,523,2,-0.504532427487071,0.688311839897967,0.555892409932779,2.22100621623478,-411.080459317175,-450.877601372677,-433.376580178949,79.5942841110045,4.59753658126747e-19,44.5922417235485,2.42651286817922e-11,0,0,0
500,8,537,2,-0.523824164389936,0.731522053439929,1.01584412886813,3.18310881093342,-361.316851399362,-405.76832852565,-410.756064850531,88.9029542525751,4.14663682945445e-21,98.8784269023369,2.68488300846013e-23,0,0,0
500,9,447,2,-0.559051168402673,0.698911939678869,0.64675271863769,2.14168726495382,-407.657480616951,-440.93052260372,-439.883048977184,66.5460839735383,3.41808437684106e-16,64.4511367204665,9.89562479027796e-16,0,0,0
500,10,498,2,-0.385925687282067,0.639067448061148,0.782800655536518,3.365087873988,-415.583959235621,-447.86587390422,-441.853984071471,64.5638293371976,9.34552966903911e-16,52.5400496716986,4.21563216377875e-13,0,0,0
500,11,502,2,-0.499449571785115,0.77542763477133,0.933555257188199,3.80245242109628,-387.105279387538,-436.91951189074,-419.095764866036,99.6284650064047,1.83843055723387e-23,63.9809709569976,1.2562678514843e-15,0,0,0
500,12,428,2,-0.618395059453883,0.772503460564722,0.492066699627421,1.82917018001231,-403.536490018508,-446.990352183579,-427.170491590609,86.9077243301402,1.13704413987485e-20,47.2680031442013,6.19146946952225e-12,0,0,0
500,13,570,2,-0.469684953044164,0.68461340148805,1.02539457893875,3.03044423232042,-382.218730789748,-419.666731821617,-433.035452435716,74.896002063737,4.96173764782162e-18,101.633443291935,6.68077947351489e-24,0,0,0
500,14,502,2,-0.553411562318278,0.785113078458674,0.825251139184571,2.88325430412829,-377.34820053942,-425.140351133564,-413.180367082173,95.5843011882893,1.41725841002005e-22,71.664333085507,2.55102285199654e-17,0,0,0
500,15,478,2,-0.595474591940598,0.671374281506903,0.96644746839119,2.50613851026516,-380.985398650491,-406.274416324374,-444.945940288522,50.5780353477663,1.14519550694621e-12,127.921083276062,1.16795903384419e-29,0,0,0
500,16,522,2,-0.424783625940923,0.596997469440291,0.994006415629819,3.85437427795146,-405.128106173858,-439.419786990506,-443.379144058632,68.5833616332974,1.21625970439909e-16,76.5020757695485,2.1998163495243e-18,0,0,0
500,17,499,2,-0.546360225677168,0.754304847397533,0.62882740453959,1.98498683004662,-403.093644352124,-443.232410866666,-444.06154512162,80.2775330290845,3.25347356962753e-19,81.9358015389911,1.40579598363652e-19,0,0,0
500,18,472,2,-0.449322325933647,0.698500754683688,0.780411999934415,2.72025979989162,-400.843686205189,-434.929349998964,-433.366194912773,68.1713275875503,1.49889476141629e-16,65.0450174151681,7.32064228623504e-16,0,0,0
500,19,495,2,-0.393994255759781,0.59017819364519,0.575216544128262,2.35417220430259,-434.262575484773,-464.074200127112,-454.402141990323,59.6232492846777,1.14870091104526e-14,40.2791330110998,2.20147854819183e-10,0,0,0
500,20,462,2,-0.619579633739636,0.784815565765427,0.500645619825125,1.72261778282519,-406.069759449737,-447.008989820468,-431.251673146247,81.8784607414616,1.44717885684208e-19,50.363827393019,1.27726956856193e-12,0,0,0
