"scenario","rep_id","mu0_true","mu1_true","alpha_true","beta_true","n_events","max_dN","mu0_hat","mu1_hat","alpha_hat","beta_hat","loglik_full","loglik_no_cov","loglik_no_hawkes","LR_cov","p_cov","LR_hawkes","p_hawkes","conv_full","conv_no_cov","conv_no_hawkes"
"no_covariate",59,-0.5,0,0.7,2.5,205,2,-0.480095326902479,0.0214341372995277,1.2343769873225,5.158841460402,-227.024078529108,-227.042993186402,-245.684486838204,0.0378293145890893,0.84578627842637,37.3208166181919,1.00209241628968e-09,0,0,0
"no_covariate",60,-0.5,0,0.7,2.5,197,2,-0.665920718147821,0.0057246979134301,0.828349313170037,2.39281239553394,-221.722576108874,-221.723616723538,-243.931478985261,0.00208122932650667,0.963612735605076,44.4178057527723,2.65263471216224e-11,0,0,0
"no_covariate",61,-0.5,0,0.7,2.5,187,1,-0.563315970137924,0.0158271273305761,0.446637104415956,1.88308783223136,-233.178284591846,-233.186420245283,-241.303213216611,0.0162713068720564,0.898497953220465,16.2498572495285,5.55137769689177e-05,0,0,0
"no_covariate",62,-0.5,0,0.7,2.5,241,2,-0.240745341391445,0.169260453990455,0.808921299231906,4.6104654944102,-238.590386263154,-239.854541348334,-248.362292698533,2.52831017036033,0.111819908594331,19.5438128707584,9.83186463100566e-06,0,0,0
"no_covariate",63,-0.5,0,0.7,2.5,208,2,-0.415831736374544,0.0321748451687178,0.955873220077657,4.66895071237036,-234.175279159366,-234.219202747183,-246.200822820353,0.0878471756328736,0.766932076393998,24.0510873219731,9.38132720198616e-07,0,0,0
"no_covariate",64,-0.5,0,0.7,2.5,184,2,-0.699009556071093,0.0156163607753828,0.372695361248771,1.15462037541465,-229.140123091867,-229.147701397066,-240.378788958702,0.0151566103972982,0.902018261479106,22.4773317336695,2.1263817496829e-06,0,0,0
"no_covariate",65,-0.5,0,0.7,2.5,269,1,-0.35277109595188,-0.0208353399156618,0.691465488019361,2.00741284242099,-226.049436021732,-226.066204268484,-248.968748681387,0.0335364935049824,0.854696238698076,45.8386253193096,1.28406559791082e-11,0,0,0
"no_covariate",66,-0.5,0,0.7,2.5,215,1,-0.3387239712027,0.0477062372544089,0.421202778220564,2.45329397758869,-242.777674092822,-242.896410888262,-247.302469185857,0.237473590881223,0.626036804812607,9.04959018607133,0.00262753709199942,0,0,0
"no_covariate",67,-0.5,0,0.7,2.5,231,2,-0.536758213596017,-0.0486172142968796,1.09156371729547,2.99613865532782,-219.747618998166,-219.823960440216,-249.245019441676,0.152682884099988,0.695984570128198,58.994800887019,1.58089124282162e-14,0,0,0
"no_covariate",68,-0.5,0,0.7,2.5,230,2,-0.396388693875881,0.00371992578408326,0.595263619735984,2.23737317041356,-239.193537116483,-239.194130635949,-249.142418525967,0.00118703893269867,0.972515576669587,19.8977628189692,8.16958704237273e-06,0,0,0
"no_covariate",69,-0.5,0,0.7,2.5,254,2,-0.379695645610591,0.133544339162973,0.68935421829888,2.09797805121242,-227.848477450902,-228.624091182621,-247.757939000518,1.55122746343744,0.212954325486998,39.8189230992316,2.78632438975999e-10,0,0,0
"no_covariate",70,-0.5,0,0.7,2.5,177,2,-0.630296919052149,-0.13386967541191,0.797877786436637,3.25660010537507,-224.623245688292,-225.165205052606,-237.816331141875,1.0839187286266,0.297822560805455,26.3861709071661,2.79534706345398e-07,0,0,0
"no_covariate",71,-0.5,0,0.7,2.5,184,2,-0.664627979423281,0.0264829708726576,0.499744027149856,1.66062156061014,-229.105138852156,-229.126384567306,-240.391535473664,0.0424914303005721,0.836685853711177,22.5727932430156,2.02329678704419e-06,0,0,0
"no_covariate",72,-0.5,0,0.7,2.5,199,2,-0.707964854780199,0.0908383431121061,0.615298560470426,1.62526286294482,-224.014197301996,-224.224818501532,-243.878031695409,0.421242399072867,0.516317761445618,39.7276687868278,2.91959851222532e-10,0,0,0
"no_covariate",73,-0.5,0,0.7,2.5,226,1,-0.38668628078227,0.0454487260434755,0.788451151462591,3.17592821706293,-236.026791856465,-236.127826701111,-248.788711510327,0.202069689290511,0.653055413509666,25.5238393077233,4.36950514971713e-07,0,0,0
"no_covariate",74,-0.5,0,0.7,2.5,234,2,-0.519023915575593,0.0506371617022443,0.752719041129246,2.09165440481768,-226.168585045552,-226.261225489984,-249.266922789591,0.185280888865236,0.666873664428248,46.1966754880796,1.06958316285717e-11,0,0,0
