"rep","case","path_min","path_max","n_events","true_gamma0","poisson_gamma0","hawkes_gamma0","true_gamma1","poisson_gamma1","hawkes_gamma1","true_alpha","est_alpha","true_beta","est_beta","true_branching","est_branching","poisson_loglik","hawkes_loglik","lrt_stat","poisson_convergence","hawkes_convergence","error"
11,"diffusion_negative_control",-2.91008266796026,2.59146324853625,221,-0.916290731874155,-0.947635421290765,-1.05250504645572,0.5,0.491072567548813,0.490809465309539,0,0.165168772513812,1.5,1.65608027402488,0,0.0997347623206642,-381.616258519665,-379.326348914965,4.57981920939869,0,0,FALSE
11,"diffusion_positive_control",-2.91008266796026,2.59146324853625,417,-0.916290731874155,-0.332469337539722,-0.781660293474876,0.5,0.533550186624103,0.566499047304684,0.6,0.555769076398326,1.5,1.57917019290664,0.4,0.351937415545674,-448.742984926949,-416.148798441563,65.1883729707731,0,0,FALSE
12,"diffusion_negative_control",-2.6832647556661,2.80243026913619,218,-0.916290731874155,-0.953966137009396,-0.962609197807144,0.5,0.504153920497693,0.505334882608277,0,0.0853159131004952,1.5,10.5398317956518,0,0.00809461808827844,-377.848590641235,-377.747372901974,0.202435478520442,0,0,FALSE
12,"diffusion_positive_control",-2.6832647556661,2.80243026913619,406,-0.916290731874155,-0.293981927861855,-1.0221886895245,0.5,0.409099988214847,0.481347154719849,0.6,0.44941227781084,1.5,0.891122894658924,0.4,0.504321323696719,-464.816989574441,-420.294084075545,89.0458109977923,0,0,FALSE
13,"diffusion_negative_control",-2.48494837898661,2.73058673914622,239,-0.916290731874155,-0.818671488761691,-0.931596797502349,0.5,0.471777029627254,0.495332788836161,0,0.0721874537683685,1.5,0.727793172576824,0,0.0991867696598219,-395.127095089875,-394.251894319531,1.75040154068734,0,0,FALSE
13,"diffusion_positive_control",-2.48494837898661,2.73058673914622,344,-0.916290731874155,-0.405870425484902,-1.0234877978633,0.5,0.301846951685823,0.373786474499414,0.6,0.762003713663754,1.5,1.6894665125879,0.4,0.451032150081819,-460.633420029565,-403.346647911616,114.573544235899,0,0,FALSE
14,"diffusion_negative_control",-3.09256975892847,2.60218061618057,218,-0.916290731874155,-0.869274350949302,-1.32607094613066,0.5,0.485649869760714,0.683439912124546,0,0.0219170182175909,1.5,0.0655002269627681,0,0.334609805704171,-381.631871111822,-379.350725052132,4.5622921193808,0,0,FALSE
14,"diffusion_positive_control",-3.09256975892847,2.60218061618057,411,-0.916290731874155,-0.206954840797713,-0.820602101379498,0.5,0.342396341134769,0.428549472636581,0.6,0.638134159539305,1.5,1.41467839100013,0.4,0.451080728735927,-475.057203410129,-410.233875655545,129.646655509168,0,0,FALSE
15,"diffusion_negative_control",-2.76308887318486,2.66907213951627,223,-0.916290731874155,-0.912408049347332,-0.992642043153548,0.5,0.378751222963906,0.376173966662837,0,0.230332479270324,1.5,2.94591620783668,0,0.0781870436971686,-387.693907087149,-385.691483862041,4.00484645021731,0,0,FALSE
15,"diffusion_positive_control",-2.76308887318486,2.66907213951627,421,-0.916290731874155,-0.320464466989179,-1.00100529246021,0.5,0.465869469101194,0.560453436706168,0.6,0.786875654876407,1.5,1.69215593675401,0.4,0.465013677395381,-450.070522739837,-384.872739701928,130.395566075818,0,0,FALSE
16,"diffusion_negative_control",-2.97539764646692,2.58525271820072,227,-0.916290731874155,-0.941239563754317,-0.96307669838947,0.5,0.533568794602882,0.538050417599844,0,0.0897919078551067,1.5,4.62706928915288,0,0.0194057841462637,-380.320014242739,-380.097517505666,0.444993474145235,0,0,FALSE
16,"diffusion_positive_control",-2.97539764646692,2.58525271820072,459,-0.916290731874155,-0.217910022004745,-0.768813819391721,0.5,0.493735659181742,0.474511888793952,0.6,0.959051071541026,1.5,2.23740022218985,0.4,0.42864529199088,-453.136289257862,-389.491847170416,127.288884174892,0,0,FALSE
17,"diffusion_negative_control",-3.40096523867294,2.82063562289663,220,-0.916290731874155,-0.931012856188947,-1.04195673184447,0.5,0.534056707363405,0.527227688887924,0,0.24410073360047,1.5,2.26312865275173,0,0.107859857327894,-369.448135863303,-366.235300826258,6.42567007408888,0,0,FALSE
17,"diffusion_positive_control",-3.40096523867294,2.82063562289663,358,-0.916290731874155,-0.437244875608482,-0.865587956866144,0.5,0.519270991177291,0.549252861127477,0.6,0.586652417831575,1.5,1.72984662693648,0.4,0.339135509874956,-429.590169201888,-396.040536825445,67.0992647528863,0,0,FALSE
18,"diffusion_negative_control",-2.96748900359746,3.11992525604412,236,-0.916290731874155,-0.849709239634511,-0.849709166996286,0.5,0.395631451634814,0.395630448994852,0,5.26172777417494e-05,1.5,5.91796871259802,0,8.89110441387414e-06,-395.879580162728,-395.880339971534,-0.00151961761264374,0,0,FALSE
18,"diffusion_positive_control",-2.96748900359746,3.11992525604412,368,-0.916290731874155,-0.419820366807658,-0.991362079312665,0.5,0.427523719405937,0.471321645650297,0.6,0.347595719622643,1.5,0.821023573117484,0.4,0.423368744825191,-449.292158923725,-420.795537614971,56.9932426175086,0,0,FALSE
19,"diffusion_negative_control",-3.13733117644023,2.8828210258554,188,-0.916290731874155,-1.04522947704213,-1.061494666551,0.5,0.454691853686007,0.456950378194201,0,0.562876593429082,1.5,36.5820560948561,0,0.0153866855370174,-355.859327683635,-355.062477431602,1.59370050406574,0,0,FALSE
19,"diffusion_positive_control",-3.13733117644023,2.8828210258554,355,-0.916290731874155,-0.37066137316738,-0.830405598757748,0.5,0.314622047450914,0.312176536978318,0.6,0.67207854385145,1.5,1.82173862244793,0.4,0.368921499258964,-462.008221387932,-421.774782755839,80.4668772641855,0,0,FALSE
20,"diffusion_negative_control",-3.20980240447621,2.88349204730404,214,-0.916290731874155,-0.909678381568113,-1.05685774302811,0.5,0.368722142606158,0.403951296104503,0,0.0177204381409123,1.5,0.138319162410998,0,0.128112676740033,-383.17371612323,-382.819132505292,0.709167235876407,0,0,FALSE
20,"diffusion_positive_control",-3.20980240447621,2.88349204730404,315,-0.916290731874155,-0.524372176142349,-0.982758376283651,0.5,0.372695167463879,0.373408305578294,0.6,0.502145682513696,1.5,1.36618571934457,0.4,0.367553016697175,-441.844846754334,-411.099471440051,61.4907506285656,0,0,FALSE
21,"diffusion_negative_control",-3.33881697487123,2.79074575568215,195,-0.916290731874155,-0.956127462143181,-1.02078141169029,0.5,0.444718083362007,0.448203455335511,0,0.162431052953212,1.5,2.62814474274121,0,0.0618044547971865,-359.511915431602,-358.407563183875,2.20870449545441,0,0,FALSE
21,"diffusion_positive_control",-3.33881697487123,2.79074575568215,361,-0.916290731874155,-0.336057552046807,-0.942862411967107,0.5,0.427574627670823,0.50707514274949,0.6,0.655275178668645,1.5,1.4796498522349,0.4,0.442858273313042,-445.880224036141,-398.403554631904,94.9533388084755,0,0,FALSE
22,"diffusion_negative_control",-3.26705966590942,2.87715326402751,222,-0.916290731874155,-0.917715479225022,-0.939333898916789,0.5,0.433144375940987,0.43275007598103,0,0.130297683215899,1.5,6.043195815202,0,0.0215610559711019,-382.28096436297,-381.960344783458,0.641239159022462,0,0,FALSE
22,"diffusion_positive_control",-3.26705966590942,2.87715326402751,418,-0.916290731874155,-0.313160367928851,-0.86981809364844,0.5,0.492183131897757,0.569587660780171,0.6,0.517518017257698,1.5,1.28182418082478,0.4,0.403735570758779,-445.029138787573,-410.163948169574,69.7303812359983,0,0,FALSE
23,"diffusion_negative_control",-2.11969156026915,3.86204996912993,256,-0.916290731874155,-1.05801787753827,-1.05871181827244,0.5,0.612496180708351,0.612624176781913,0,0.000127517290202768,1.5,0.230102686377087,0,0.000554175582260676,-370.918110830162,-370.91841162153,-0.000601582735271222,0,0,FALSE
23,"diffusion_positive_control",-2.11969156026915,3.86204996912993,478,-0.916290731874155,-0.376294493408495,-0.833801351800283,0.5,0.552593723004509,0.591489117279614,0.6,0.498382405945012,1.5,1.44552237894322,0.4,0.344776679493101,-415.234714569579,-383.529894383636,63.4096403718848,0,0,FALSE
24,"diffusion_negative_control",-2.89787453366561,2.62001742406581,204,-0.916290731874155,-0.990639373018974,-0.990711787774303,0.5,0.472960464215746,0.472932301000708,0,0.00176268180898217,1.5,75.8330604008984,0,2.32442393813936e-05,-365.332555820924,-365.330737932219,0.00363577740972687,0,0,FALSE
24,"diffusion_positive_control",-2.89787453366561,2.62001742406581,313,-0.916290731874155,-0.594825557196956,-1.08379695294068,0.5,0.543619319336702,0.603699126575828,0.6,0.654139723282167,1.5,1.77790460895984,0.4,0.36792734547489,-415.628768740621,-374.495576971035,82.2663835391718,0,0,FALSE
