"rep","case","n_events","true_gamma0","poisson_gamma0","hawkes_gamma0","true_gamma1","poisson_gamma1","hawkes_gamma1","true_alpha","est_alpha","true_beta","est_beta","true_branching","est_branching","poisson_loglik","hawkes_loglik","lrt_stat","poisson_convergence","hawkes_convergence","error"
29,"covariate_positive_control",455,-0.693147180559945,-0.212080335673574,-0.776558243940465,0.8,0.696445294715927,0.672195536275094,0.6,0.655625052789472,1.5,1.5039760618748,0.4,0.435927851120311,-447.341810274602,-399.975033624718,94.7335532997676,0,0,FALSE
30,"covariate_negative_control",281,-0.693147180559945,-0.722815257832615,-0.733219851763188,0.8,0.779677368513616,0.780029732189058,0,5.71942691656358,1.5,558.841695846932,0,0.0102344312514042,-404.596288515694,-401.814062925577,5.5644511802326,0,0,FALSE
30,"covariate_positive_control",426,-0.693147180559945,-0.27756112910036,-0.893957263453065,0.8,0.695295032130349,0.775551870778855,0.6,0.660307889557821,1.5,1.48386998314229,0.4,0.444990394751118,-447.028745957852,-394.006189491144,106.045112933416,0,0,FALSE
31,"covariate_negative_control",263,-0.693147180559945,-0.759065109252714,-0.761953862972817,0.8,0.692913211158337,0.692609975260602,0,1.01856845428608,1.5,342.421952791149,0,0.00297460033150189,-403.006081104083,-402.789128845617,0.433904516931648,0,0,FALSE
31,"covariate_positive_control",498,-0.693147180559945,-0.139335166986916,-0.610714369817273,0.8,0.74816755838902,0.701077202218266,0.6,0.756156547022825,1.5,1.95175636260516,0.4,0.38742363622349,-436.932226174994,-386.856168242431,100.152115865127,0,0,FALSE
32,"covariate_negative_control",304,-0.693147180559945,-0.64378792416709,-0.87386235042739,0.8,0.778699872889649,0.813664386571585,0,0.0329446592587849,1.5,0.167372602114987,0,0.196834241939738,-413.889379434224,-412.753598594729,2.27156167898943,0,0,FALSE
32,"covariate_positive_control",499,-0.693147180559945,-0.175567902401827,-0.80627293046763,0.8,0.851273486633701,0.879509230436056,0.6,0.53566481092394,1.5,1.15745194156366,0.4,0.462796589377426,-420.42283337465,-370.94052791696,98.9646109153809,0,0,FALSE
33,"covariate_negative_control",293,-0.693147180559945,-0.717962333628324,-0.794994666578989,0.8,0.876422570345376,0.874920928324421,0,0.0876182127019804,1.5,1.17258824635256,0,0.0747220629018963,-400.416321109244,-399.505731706333,1.82117880582177,0,0,FALSE
33,"covariate_positive_control",464,-0.693147180559945,-0.171506147590408,-0.65946166489196,0.8,0.629718751899706,0.677810722971337,0.6,0.646635320850261,1.5,1.71570856620875,0.4,0.376891118681741,-455.858202370238,-411.088097492763,89.5402097549513,0,0,FALSE
34,"covariate_negative_control",310,-0.693147180559945,-0.602780282881227,-0.605936549580066,0.8,0.717387144497447,0.717256738244335,0,0.099542379331954,1.5,30.1358081521776,0,0.0033031262619304,-421.819333896993,-421.798885457509,0.0408968789681694,0,0,FALSE
34,"covariate_positive_control",515,-0.693147180559945,-0.152473383232855,-0.584852664750866,0.8,0.872687844577373,0.84128739202524,0.6,0.58289741789602,1.5,1.62022975905057,0.4,0.359762197083449,-413.989402828249,-383.288187094647,61.4024314672032,0,0,FALSE
35,"covariate_negative_control",313,-0.693147180559945,-0.620922934783632,-0.621024858280003,0.8,0.795942483658899,0.795869478643741,0,5.87900135612159e-05,1.5,3.65636962841996,0,1.60787938681738e-05,-415.306224888351,-415.307116055713,-0.001782334722634,0,0,FALSE
35,"covariate_positive_control",460,-0.693147180559945,-0.266686869364755,-0.709661156080145,0.8,0.875869912274009,0.871542559413143,0.6,0.523817304668062,1.5,1.4584965900532,0.4,0.359148803117157,-421.240251532574,-389.683799317792,63.112904429564,0,0,FALSE
36,"covariate_negative_control",255,-0.693147180559945,-0.822941912431436,-0.824147263059124,0.8,0.788001830738612,0.787828755067962,0,0.00118878981812149,1.5,0.954666842677078,0,0.00124524050168945,-391.249765582171,-391.251249593453,-0.00296802256366391,0,0,FALSE
36,"covariate_positive_control",552,-0.693147180559945,-0.0752441632362185,-0.579041111687122,0.8,0.85285295423494,0.908594859874929,0.6,0.426115346609446,1.5,1.11302365247627,0.4,0.382844826038889,-409.069323620591,-374.685816431978,68.7670143772264,0,0,FALSE
37,"covariate_negative_control",278,-0.693147180559945,-0.748301627565532,-0.748495870119564,0.8,0.819453875652495,0.819604265537262,0,0.00782899255262565,1.5,179.454705752653,0,4.3626565933671e-05,-399.737253181358,-399.727647444679,0.0192114733574726,0,0,FALSE
37,"covariate_positive_control",473,-0.693147180559945,-0.201304567476929,-0.706710640312083,0.8,0.777552642602966,0.784962084586807,0.6,0.518769675869317,1.5,1.31296418028906,0.4,0.3951133501259,-435.051414880013,-403.079972356955,63.9428850461161,0,0,FALSE
38,"covariate_negative_control",302,-0.693147180559945,-0.686542238693963,-0.890239626708724,0.8,0.873511393674898,0.904626563334302,0,0.030827895626413,1.5,0.176308281602031,0,0.174852226715015,-403.872948156281,-402.662013662315,2.42186898793136,0,0,FALSE
38,"covariate_positive_control",402,-0.693147180559945,-0.325527490318866,-0.925831100095935,0.8,0.664139613972908,0.656934663565209,0.6,0.586128206028973,1.5,1.29177048900014,0.4,0.453740204641653,-448.758734543843,-400.493985736761,96.5294976141641,0,0,FALSE
39,"covariate_negative_control",284,-0.693147180559945,-0.719219896704139,-0.737905699443787,0.8,0.798828081266673,0.798140989306972,0,0.18906393026698,1.5,10.0748487489504,0,0.0187659323706152,-404.179606923257,-403.808539953411,0.742133939692053,0,0,FALSE
39,"covariate_positive_control",498,-0.693147180559945,-0.114396712477011,-0.655122017858368,0.8,0.673656121602568,0.723761084035901,0.6,0.595505596212024,1.5,1.45964756832593,0.4,0.40797902804374,-447.930492565137,-400.314657145586,95.2316708391025,0,0,FALSE
40,"covariate_negative_control",274,-0.693147180559945,-0.769709137997951,-0.769720831966163,0.8,0.837538996990621,0.837522492906791,0,2.66628660658754e-05,1.5,9.32359451920039,0,2.85971960824418e-06,-396.346087226355,-396.346326447098,-0.000478441485256553,0,0,FALSE
40,"covariate_positive_control",494,-0.693147180559945,-0.158320115392603,-0.624968727158081,0.8,0.778810395268792,0.735078223173425,0.6,0.535203371655062,1.5,1.395625620492,0.4,0.383486347482204,-432.71227372897,-397.445102740375,70.5343419771889,0,0,FALSE
41,"covariate_negative_control",305,-0.693147180559945,-0.638797890408764,-0.646273456481098,0.8,0.77398215170475,0.768117948201954,0,0.380256948805356,1.5,39.875093422304,0,0.0095362020792824,-414.699954685533,-414.413276382572,0.57335660592264,0,0,FALSE
41,"covariate_positive_control",483,-0.693147180559945,-0.197409992884795,-0.684026432083706,0.8,0.823415995945357,0.828988771191767,0.6,0.429385733172342,1.5,1.11524463416178,0.4,0.385014838914755,-427.08136605789,-398.198546367608,57.7656393805638,0,0,FALSE
42,"covariate_negative_control",290,-0.693147180559945,-0.696446912489115,-0.71496849009608,0.8,0.793778659186985,0.7959676472318,0,0.51512131674331,1.5,29.3383107650953,0,0.0175579746519069,-407.121243161467,-406.220126357622,1.80223360768991,0,0,FALSE
42,"covariate_positive_control",509,-0.693147180559945,-0.0562828464002867,-0.621045965573314,0.8,0.549551394813632,0.645064135672881,0.6,0.549492220550828,1.5,1.32066455001359,0.4,0.416072514814738,-463.549866879503,-420.380958450362,86.3378168582826,0,0,FALSE
43,"covariate_negative_control",308,-0.693147180559945,-0.631336098879687,-0.679902646116649,0.8,0.78040954215322,0.77580694563278,0,0.0387685512560996,1.5,0.787975626840751,0,0.0492001908885624,-415.143754511661,-414.905287121639,0.476934780042939,0,0,FALSE
43,"covariate_positive_control",461,-0.693147180559945,-0.215813752071226,-0.779940941363394,0.8,0.746098704504843,0.808109382932683,0.6,0.625339135313189,1.5,1.49515087344678,0.4,0.418244838309589,-440.351407002278,-392.150491345634,96.4018313132871,0,0,FALSE
44,"covariate_negative_control",302,-0.693147180559945,-0.708301584470663,-0.708649289583239,0.8,0.926604507618716,0.92665877968812,0,0.000873355216415468,1.5,2.13378700879032,0,0.000409298216184467,-398.438250785767,-398.438867658375,-0.00123374521683672,0,0,FALSE
44,"covariate_positive_control",482,-0.693147180559945,-0.164462240475674,-0.490429180300873,0.8,0.726386364551241,0.701088409527864,0.6,0.674577719657492,1.5,2.36941072381175,0.4,0.284702737637769,-441.820795057293,-415.061235694731,53.5191187251235,0,0,FALSE
