"rep","case","n_events","true_mu","est_mu","true_alpha","est_alpha","true_beta","est_beta","true_branching","est_branching","poisson_loglik","hawkes_loglik","lrt_stat","convergence","error"
35,"positive_control_hawkes",415,0.5,0.522107998965724,0.6,0.629843813169029,1.5,1.69469580473792,0.4,0.371655970002495,-492.32677494947,-451.106895573349,82.4397587522417,0,FALSE
36,"negative_control_poisson",241,0.5,0.46670952451598,0,0.751621365862942,1.5,23.6926361379546,0,0.0317238386427957,-416.8844907485,-414.564143373856,4.64069474928885,0,FALSE
36,"positive_control_hawkes",414,0.5,0.393906968426873,0.6,0.406522505326516,1.5,0.773415045778025,0.4,0.525620115028368,-492.139239583107,-443.583893553049,97.1106920601158,0,FALSE
37,"negative_control_poisson",242,0.5,0.441680198057477,0,0.0417319183552739,1.5,0.474991750991939,0,0.0878581959962966,-417.612230088252,-417.096066178493,1.03232781951783,0,FALSE
37,"positive_control_hawkes",400,0.5,0.435725671452045,0.6,0.571282464386973,1.5,1.25206986378113,0.4,0.456270437387381,-489.257420525684,-434.907149021135,108.700543009097,0,FALSE
38,"negative_control_poisson",247,0.5,0.493831595664895,0,0.00208189326062694,1.5,6.22326571728175,0,0.000334533885455929,-421.189281163171,-421.190057053369,-0.0015517803963121,0,FALSE
38,"positive_control_hawkes",361,0.5,0.46785825704944,0.6,0.571737784121803,1.5,1.62420987092266,0.4,0.352009795259412,-478.588580572241,-446.556585149506,64.0639908454707,0,FALSE
39,"negative_control_poisson",238,0.5,0.475950692671044,0,0.00114176564225123,1.5,60.4269179156572,0,1.88949839183406e-05,-414.676307090671,-414.677877996298,-0.00314181125497726,0,FALSE
39,"positive_control_hawkes",397,0.5,0.499170863040772,0.6,0.87763136125143,1.5,2.35966135876063,0.4,0.371931064596655,-488.576711640796,-434.426181574913,108.301060131765,0,FALSE
40,"negative_control_poisson",259,0.5,0.347012517164511,0,0.0185017401087043,1.5,0.0536822849141582,0,0.344652619356458,-429.365029511167,-427.856377982459,3.01730305741762,0,FALSE
40,"positive_control_hawkes",426,0.5,0.526694953617855,0.6,0.547142044158068,1.5,1.43166170731568,0.4,0.382172716754394,-494.231888417102,-461.15547136287,66.1528341084636,0,FALSE
41,"negative_control_poisson",265,0.5,0.408613205065612,0,0.0309816443844858,1.5,0.133336888461095,0,0.232356137465482,-433.242742195532,-431.951538908177,2.58240657471038,0,FALSE
41,"positive_control_hawkes",403,0.5,0.481251164181375,0.6,0.846216148261428,1.5,2.09913443869337,0.4,0.403126227964782,-489.91562919963,-430.995987399811,117.839283599639,0,FALSE
42,"negative_control_poisson",251,0.5,0.405279854765868,0,0.00392781337251334,1.5,0.0185938551267246,0,0.211242550065261,-423.977944981892,-423.473924316665,1.00804133045517,0,FALSE
42,"positive_control_hawkes",458,0.5,0.469496642804203,0.6,0.655443359754289,1.5,1.34439178298985,0.4,0.487538951105921,-498.184422753067,-432.556683328598,131.255478848939,0,FALSE
43,"negative_control_poisson",244,0.5,0.442699655963953,0,0.00854609787750202,1.5,0.0900638329138441,0,0.0948893423809455,-419.055329043474,-418.940843654382,0.228970778182202,0,FALSE
43,"positive_control_hawkes",353,0.5,0.41650113930555,0.6,0.55699438580352,1.5,1.3583410177381,0.4,0.4100548967674,-475.89343464558,-442.427737475077,66.9313943410059,0,FALSE
44,"negative_control_poisson",264,0.5,0.431399818669236,0,0.0843228959157842,1.5,0.460364966308375,0,0.183165319011918,-432.605974752831,-430.369595381414,4.47275874283378,0,FALSE
44,"positive_control_hawkes",434,0.5,0.511678063807509,0.6,0.655174158376343,1.5,1.59531636924932,0.4,0.410686037581772,-495.438586915655,-446.316781236793,98.243611357724,0,FALSE
45,"negative_control_poisson",270,0.5,0.538154491764919,0,0.0134367475880627,1.5,3.81183174222741,0,0.00352501067641853,-436.370257644431,-436.365648881611,0.00921752564011058,0,FALSE
45,"positive_control_hawkes",403,0.5,0.449573080013862,0.6,0.580118605437133,1.5,1.30992265603389,0.4,0.442864777370584,-489.91562919963,-440.033406151293,99.7644460966744,0,FALSE
46,"negative_control_poisson",276,0.5,0.362046354097381,0,0.0192150206472172,1.5,0.0538336874955781,0,0.35693301984553,-440.001196226591,-438.362088008342,3.27821643649838,0,FALSE
46,"positive_control_hawkes",397,0.5,0.533898759827048,0.6,0.527273427373714,1.5,1.6093649614055,0.4,0.327628250905396,-488.576711640796,-461.647042881183,53.8593375192244,0,FALSE
47,"negative_control_poisson",263,0.5,0.453777031262903,0,0.0168189341977704,1.5,0.120641581526585,0,0.139412414732511,-431.965419422284,-431.595150135619,0.740538573330696,0,FALSE
47,"positive_control_hawkes",366,0.5,0.498975060991573,0.6,0.669756442001252,1.5,2.10389879854267,0.4,0.318340617174732,-480.182763997622,-449.983209044517,60.3991099062108,0,FALSE
48,"negative_control_poisson",230,0.5,0.452905831381772,0,0.671769881748853,1.5,43.5597683284209,0,0.0154217964770614,-408.601621584769,-407.618323964918,1.96659523970163,0,FALSE
48,"positive_control_hawkes",445,0.5,0.489066606480088,0.6,0.607757118414891,1.5,1.34907777559411,0.4,0.450498206559844,-496.857548233898,-445.396511185055,102.922074097688,0,FALSE
49,"negative_control_poisson",275,0.5,0.519058625568576,0,0.0537513329476937,1.5,0.950451868630428,0,0.0565534507551105,-439.405175207796,-439.042731544935,0.724887325720601,0,FALSE
49,"positive_control_hawkes",392,0.5,0.508121927831822,0.6,0.492452251106418,1.5,1.39494257075074,0.4,0.353026899767915,-487.391733383638,-460.34793035008,54.0876060671163,0,FALSE
50,"negative_control_poisson",250,0.5,0.499968635523309,0,0.00516169190018781,1.5,14.4795858261859,0,0.000356480631569796,-423.286795139986,-423.287682386936,-0.00177449389968842,0,FALSE
50,"positive_control_hawkes",472,0.5,0.53095066667745,0.6,0.76313995879725,1.5,1.74393534077893,0.4,0.437596475598913,-499.200941258892,-433.02027188116,132.361338755465,0,FALSE
