"rep","case","n_events","true_alpha","est_alpha","true_beta","est_beta","true_branching","est_branching","poisson_loglik","hawkes_loglik","lrt_stat","convergence","error"
13,"td_baseline_negative_control",244,0,1.30720837612972e-10,1.5,60945149.5259266,0,2.14489321348473e-18,-397.928807678907,-397.928807678907,1.13686837721616e-13,0,FALSE
13,"td_baseline_positive_control",447,0.6,0.616435151542706,1.5,1.35404417790164,0.4,0.455254829645214,-523.842702129783,-415.944662684508,215.796078890551,0,FALSE
14,"td_baseline_negative_control",234,0,0.161818459770128,1.5,6.62911067741307,0,0.0244102818077064,-392.86037235692,-392.402669407071,0.915405899698158,0,FALSE
14,"td_baseline_positive_control",444,0.6,0.734934408638448,1.5,1.66162557399338,0.4,0.442298445655348,-510.944871060634,-389.255348186066,243.379045749138,0,FALSE
15,"td_baseline_negative_control",231,0,0.169437401508019,1.5,17.7200927182959,0,0.00956188007600413,-398.238263143262,-398.051691998113,0.373142290298574,0,FALSE
15,"td_baseline_positive_control",438,0.6,0.517719158823501,1.5,1.16267344738945,0.4,0.445283376846644,-503.624886302343,-403.119435857165,201.010900890356,0,FALSE
16,"td_baseline_negative_control",254,0,0.0216842018348654,1.5,0.353623974705503,0,0.061319942611142,-409.447956848041,-408.742233888684,1.41144591871489,0,FALSE
16,"td_baseline_positive_control",350,0.6,0.570715411458118,1.5,1.72526198988224,0.4,0.330799272693112,-475.385366715063,-420.206377407935,110.357978614255,0,FALSE
17,"td_baseline_negative_control",267,0,0.00587291234812002,1.5,0.140092979384512,0,0.0419215322132645,-413.336519795833,-413.06590497969,0.541229632286218,0,FALSE
17,"td_baseline_positive_control",424,0.6,0.618752646077829,1.5,1.49587048689566,0.4,0.413640520017151,-516.100862239189,-422.919315600393,186.363093277592,0,FALSE
18,"td_baseline_negative_control",238,0,6.17168386663703e-10,1.5,530550.055781689,0,1.16326137362175e-15,-398.445245630983,-398.445245630983,-5.6843418860808e-13,0,FALSE
18,"td_baseline_positive_control",414,0.6,0.560257972058846,1.5,1.47810119869893,0.4,0.379038980924988,-501.715144963385,-424.615467767625,154.19935439152,0,FALSE
19,"td_baseline_negative_control",245,0,0.467385654642079,1.5,45.1280154836955,0,0.0103568847340726,-402.653018384035,-402.193334611975,0.919367544119723,0,FALSE
