"b","n_events","null_gamma0","null_gamma1","hawkes_gamma0","hawkes_gamma1","est_alpha","est_beta","est_branching","lrt_stat","poisson_convergence","hawkes_convergence","error"
31,302,-0.70691538970558,0.923296972770512,-0.70693597988166,0.92329778223577,0.000148348735317972,7.25229384218012,2.04554225940433e-05,-0.00149277532113956,0,0,FALSE
32,280,-0.826589809410109,1.02409224943677,-1.01209377944322,1.0615412174319,0.0231973733585772,0.149281175772289,0.15539382804676,1.98615412888194,0,0,FALSE
33,312,-0.622177806866197,0.790662509349318,-0.624631216467265,0.788740189642963,0.733264697669212,232.345776678467,0.0031559200608322,0.307548220912963,0,0,FALSE
34,290,-0.732235771406015,0.886308287251333,-0.747544013720134,0.885705673103232,0.109450124880269,7.09378303111517,0.0154290206509266,0.421210927163656,0,0,FALSE
35,295,-0.658486234363913,0.735293316765519,-0.678659398977061,0.737447286921099,0.0229122016887194,1.19058647020651,0.0192444667078614,0.101324001306011,0,0,FALSE
36,304,-0.727937503395633,0.987487949137951,-1.00044557759767,1.22297917925101,0.00124449635277756,0.00566896694771168,0.219527890047041,2.22490309349041,0,0,FALSE
37,337,-0.585030854258669,0.893689226943691,-0.58506651817596,0.893700130220815,0.000191538023954637,6.01085301069508,3.18653648016071e-05,-0.00130287145736929,0,0,FALSE
38,283,-0.779434786618918,0.941168802671756,-0.77943212450976,0.941163473967822,0.000538031411631692,49.8911960566523,1.07840952744598e-05,-0.000545969304425853,0,0,FALSE
39,319,-0.642046183007194,0.89888935161408,-0.700071055844451,0.905902502789227,0.111799965221744,2.08381100272296,0.0536516819786695,1.47609501150475,0,0,FALSE
40,269,-0.829557054561027,0.939725357684316,-0.853817206138998,0.941309327575938,0.943532091419146,40.4760893198636,0.0233108511042866,4.57633661637192,0,0,FALSE
41,315,-0.703029594459871,1.01132885423422,-0.807095481344444,1.01098030080516,0.0898814048995425,0.907943365330355,0.0989945059699171,2.22333887125103,0,0,FALSE
42,298,-0.678313118636079,0.818090074802114,-0.678323850153393,0.818089003428436,0.000120556831402951,7.51341430303785,1.60455455456792e-05,-0.00119254593778351,0,0,FALSE
43,311,-0.657634466445374,0.874656310632728,-0.657593998309125,0.874548343704003,0.000246718688818139,15.2867006540194,1.61394335116563e-05,-0.00129415689298185,0,0,FALSE
44,302,-0.723091884620825,0.961309320203022,-0.740283748404153,0.959655532923006,0.00925019299490954,0.520291469744936,0.0177788672942193,0.0368705708508514,0,0,FALSE
45,276,-0.738183117707145,0.772522923896808,-0.750377215957398,0.772611479364849,0.874044664452067,72.1852611524149,0.01210835356828,1.85728972315746,0,0,FALSE
46,311,-0.679410363287974,0.927734382698134,-0.679353865229474,0.927725759690081,6.70140290941984e-05,9.80367112117673,6.83560558752758e-06,-0.000442651377511538,0,0,FALSE
47,303,-0.778101589230793,1.08943208860889,-0.778092333532797,1.08944543261351,0.00138225978079135,24.3143978657799,5.68494349899877e-05,0.00488481253057671,0,0,FALSE
48,302,-0.724542492908485,0.964658528828723,-0.733845364903093,0.957244985910798,1.84925978492817,148.771542667484,0.0124301983549462,2.75638773576293,0,0,FALSE
49,299,-0.786001119051991,1.07809205429306,-0.786011366839577,1.07808608894679,6.51257479699465e-05,26.0210771763029,2.50280753285862e-06,-0.000504392039260892,0,0,FALSE
50,317,-0.590109644254261,0.745524720469903,-0.623398553934946,0.747097615399458,0.064983134068956,2.01769413858881,0.0322066327230378,0.473975352027082,0,0,FALSE
